Frame Number,Timecode,adaptive_ratio (w=2),content_val,delta_edges,delta_hue,delta_lum,delta_sat
1469,00:01:01.228,0.9929862603622968,0.9358091001157408,2.7323404947916665,0.8289116753472222,0.7022840711805556,1.2762315538194444
1470,00:01:01.270,1.0957422125572656,1.0889304832175926,3.258056640625,0.9585503472222222,0.8308376736111112,1.4774034288194444
1471,00:01:01.311,1.0844054412931134,1.1095196759259258,3.2511393229166665,0.9772406684027778,0.8294813368055556,1.5218370225694444
1472,00:01:01.353,1.0430507138206124,1.0646158854166667,2.9606119791666665,0.9188096788194444,0.8018391927083334,1.4731987847222223
1473,00:01:01.395,1.063110668234832,1.0032823350694444,2.7876790364583335,0.8344455295138888,0.795654296875,1.3797471788194444
1474,00:01:01.436,1.0802108799414594,0.8809678819444445,2.3518880208333335,0.6863606770833334,0.7070855034722222,1.2494574652777777
1475,00:01:01.478,1.0571131672692382,0.7197898582175926,1.6532389322916667,0.5413411458333334,0.6014539930555556,1.0165744357638888
1476,00:01:01.520,0.7706982516173089,0.4745189525462963,3.3341471354166665,0.2599555121527778,0.4587944878472222,0.7048068576388888
1477,00:01:01.561,0.630481830753725,0.3648365162037037,0.830078125,0.4231228298611111,0.2407497829861111,0.4306369357638889
1478,00:01:01.603,0.8112689771168061,0.4972059461805556,1.0030110677083333,0.6331380208333334,0.33642578125,0.5220540364583334
1479,00:01:01.645,0.8954143698453483,0.6231372974537036,1.2105305989583333,0.8363986545138888,0.4112413194444444,0.6217719184027778
1480,00:01:01.687,1.283627807084974,0.9890046296296297,1.6670735677083333,1.6771918402777777,0.5595160590277778,0.7303059895833334
1481,00:01:01.728,1.016587981352073,0.9326352719907406,1.9230143229166667,1.1619737413194444,0.6452365451388888,0.9906955295138888
1482,00:01:01.770,1.0588582874078485,1.0289261429398149,4.793701171875,1.1662055121527777,0.72509765625,1.1954752604166667
1483,00:01:01.812,1.1499289855292223,1.0286006221064816,2.801513671875,1.1440158420138888,0.6741807725694444,1.2676052517361112
1484,00:01:01.853,1.1831960799990862,0.9366861979166666,1.7500813802083333,0.9886610243055556,0.64501953125,1.1763780381944444
1485,00:01:01.895,1.0024537586514997,0.6797146267361112,1.1136881510416667,0.5059950086805556,0.5480414496527778,0.985107421875
1486,00:01:01.937,0.7920902729706512,0.42938910590277773,0.33203125,0.22691514756944445,0.4004177517361111,0.6608344184027778
1487,00:01:01.979,0.84104639814144,0.317527488425926,0.15218098958333334,0.18421766493055555,0.2941080729166667,0.4742567274305556
1488,00:01:02.020,0.8859617651581159,0.23445638020833334,0.6917317708333334,0.13902452256944445,0.17198350694444445,0.3923611111111111
1489,00:01:02.062,0.78248497589773,0.16659432870370372,0.4150390625,0.10289171006944445,0.109375,0.2875162760416667
1490,00:01:02.104,0.788690146905157,0.14502857349537038,0.311279296875,0.08197699652777778,0.09442816840277778,0.2586805555555556
1491,00:01:02.145,0.9254543240280917,0.1546043113425926,0.145263671875,0.09141710069444445,0.1020236545138889,0.2703721788194444
1492,00:01:02.187,0.7393408962101996,0.17988642939814814,0.17985026041666666,0.12074110243055555,0.1142306857638889,0.3046875
1493,00:01:02.229,0.5061704414487911,0.17672164351851852,0.055338541666666664,0.10980902777777778,0.1198459201388889,0.3005099826388889
1494,00:01:02.271,1.1549637694486334,0.49687138310185186,1.1551920572916667,0.6405978732638888,0.3889431423611111,0.4610731336805556
1495,00:01:02.312,0.9469011801421019,0.5651765046296297,1.556396484375,0.7203233506944444,0.4258083767361111,0.5493977864583334
1496,00:01:02.354,1.1136322821919276,0.7990360966435185,1.5425618489583333,0.9234483506944444,0.6850314670138888,0.7886284722222222
1497,00:01:02.396,1.1789828177893273,0.9148491753472223,1.6324869791666667,0.9891764322916666,0.8133409288194444,0.9420301649305556
1498,00:01:02.437,1.071076531027191,0.8931206597222222,1.3419596354166667,0.9460991753472222,0.7826605902777778,0.9506022135416666
1499,00:01:02.479,1.0426700747039546,0.8465259693287036,1.0721842447916667,0.9534233940972222,0.7122667100694444,0.8738878038194444
