time_seconds,timecode,hue_degrees,saturation,brightness,contrast,edge_density,motion_energy,dominant_hue_family
49.0,00:49.000,84.15725708007812,0.4423826038837433,0.7025926113128662,0.08924005564354504,0.042430555555555555,0.009692946623093682,green/cyan
50.0,00:50.000,84.24586486816406,0.444549024105072,0.702760636806488,0.08936312270149109,0.042465277777777775,0.0010068082788671025,green/cyan
51.0,00:51.000,86.27291870117188,0.4505685567855835,0.7051612734794617,0.09488880200998036,0.04767361111111111,0.01149993191721133,green/cyan
52.0,00:52.000,254.80482482910156,0.5566404461860657,0.6639153361320496,0.15145211850829848,0.02607638888888889,0.1683876633986928,blue
53.0,00:53.000,295.1838073730469,0.5873116254806519,0.6541109681129456,0.14592416558940932,0.032586805555555556,0.048242647058823536,magenta
54.0,00:54.000,262.9787902832031,0.5722372531890869,0.6531758904457092,0.1459903803327373,0.03845486111111111,0.025326525054466233,magenta
55.0,00:55.000,222.85107421875,0.5597448945045471,0.6560735702514648,0.14572526301483815,0.042708333333333334,0.0426156045751634,blue
56.0,00:56.000,223.03048706054688,0.5598120093345642,0.6561517715454102,0.14610200029920975,0.04486111111111111,0.004004697712418301,blue
57.0,00:57.000,223.08531188964844,0.5596731901168823,0.6559910774230957,0.1461498346916572,0.04586805555555556,0.0028372821350762527,blue
58.0,00:58.000,222.63246154785156,0.5595270395278931,0.6564335227012634,0.1470080517528329,0.05088541666666667,0.016680555555555556,blue
59.0,00:59.000,222.66583251953125,0.5594982504844666,0.6568095684051514,0.14756057035569847,0.0528125,0.008919934640522875,blue
60.0,01:00.000,222.80020141601562,0.5584567785263062,0.656692624092102,0.14740663762636566,0.045208333333333336,0.011965141612200436,blue
61.0,01:01.000,224.2040252685547,0.5553716421127319,0.6531913876533508,0.14408461546544687,0.03951388888888889,0.017013752723311546,blue
62.0,01:02.000,221.98031616210938,0.5557992458343506,0.6553217768669128,0.14660183478821637,0.046302083333333334,0.010825639978213508,blue
63.0,01:03.000,222.21714782714844,0.5558845400810242,0.6553418636322021,0.14658642327532784,0.046232638888888886,0.004091299019607843,blue
64.0,01:04.000,220.75247192382812,0.556952714920044,0.6565359830856323,0.14785938265235538,0.04845486111111111,0.006078227124183007,blue
65.0,01:05.000,220.51742553710938,0.5553368330001831,0.6583172678947449,0.14885133435963693,0.05105902777777778,0.007432121459694989,blue
66.0,01:06.000,220.3447265625,0.5575546026229858,0.6583729386329651,0.15019775856378031,0.054114583333333334,0.008611451525054466,blue
67.0,01:07.000,219.64013671875,0.5590541958808899,0.6597912311553955,0.15185043564699233,0.057256944444444444,0.006895833333333334,blue
