Frame Number,Timecode,content_val,delta_edges,delta_hue,delta_lum,delta_sat
5585,00:03:52.899,0.008671513310185185,0.006917317708333333,0.009657118055555556,0.004855685763888889,0.011501736111111112
5586,00:03:52.941,0.007251880787037038,0.0,0.002387152777777778,0.009657118055555556,0.009711371527777778
5587,00:03:52.983,0.0003888165509259259,0.0,0.00016276041666666666,8.138020833333333e-05,0.0009223090277777778
5588,00:03:53.024,0.0035536024305555555,0.013834635416666666,0.006374782986111111,0.0008409288194444445,0.003445095486111111
5589,00:03:53.066,2.712673611111111e-05,0.0,0.0,2.712673611111111e-05,5.425347222222222e-05
5590,00:03:53.108,0.0,0.0,0.0,0.0,0.0
5591,00:03:53.150,2.712673611111111e-05,0.0,0.0,2.712673611111111e-05,5.425347222222222e-05
5592,00:03:53.191,0.0,0.0,0.0,0.0,0.0
5593,00:03:53.233,0.0,0.0,0.0,0.0,0.0
5594,00:03:53.275,0.0,0.0,0.0,0.0,0.0
5595,00:03:53.316,0.0,0.0,0.0,0.0,0.0
5596,00:03:53.358,0.0,0.0,0.0,0.0,0.0
5597,00:03:53.400,0.0,0.0,0.0,0.0,0.0
5598,00:03:53.442,0.0,0.0,0.0,0.0,0.0
5599,00:03:53.483,0.0,0.0,0.0,0.0,0.0
5600,00:03:53.525,0.0,0.0,0.0,0.0,0.0
5601,00:03:53.567,0.0972312644675926,0.21443684895833334,0.045952690972222224,0.17952473958333334,0.06621636284722222
5602,00:03:53.608,0.09895833333333333,0.24210611979166666,0.04481336805555555,0.15730794270833334,0.0947536892361111
5603,00:03:53.650,0.11382378472222221,0.15218098958333334,0.04408094618055555,0.204833984375,0.0925564236111111
5604,00:03:53.692,0.13374385127314814,0.13142903645833334,0.05173068576388889,0.203125,0.14637586805555555
5605,00:03:53.733,0.1323513454861111,0.17293294270833334,0.05482313368055555,0.2224392361111111,0.11979166666666667
5606,00:03:53.775,0.11200629340277778,0.09684244791666667,0.043863932291666664,0.20374891493055555,0.0884060329861111
5607,00:03:53.817,0.04981372974537037,0.006917317708333333,0.020670572916666668,0.058159722222222224,0.07061089409722222
5608,00:03:53.859,0.049542462384259266,0.0,0.021457248263888888,0.08067491319444445,0.04649522569444445
5609,00:03:53.900,0.05545609085648148,0.0,0.023546006944444444,0.09686957465277778,0.045952690972222224
5610,00:03:53.942,0.07003219039351852,0.0,0.026502821180555556,0.12980143229166666,0.053792317708333336
5611,00:03:53.984,0.0761447482638889,0.0,0.03173828125,0.1398383246527778,0.05685763888888889
5612,00:03:54.025,0.078125,0.09684244791666667,0.027967664930555556,0.14463975694444445,0.061767578125
5613,00:03:54.067,0.08119936342592593,0.04150390625,0.028510199652777776,0.1640353732638889,0.05105251736111111
5614,00:03:54.109,0.08338758680555557,0.048421223958333336,0.03195529513888889,0.16392686631944445,0.054280598958333336
5615,00:03:54.151,0.08875868055555557,0.0830078125,0.03317599826388889,0.16341145833333334,0.06968858506944445
5616,00:03:54.192,0.08694118923611112,0.0830078125,0.03591579861111111,0.1672092013888889,0.057698567708333336
5617,00:03:54.234,0.07724790219907408,0.027669270833333332,0.027370876736111112,0.14073350694444445,0.06363932291666667
